id,Address,Response_Address,Response_X,Response_Y
3742,高雄市大社區三民路308號,高雄市大社區大社里8鄰三民路308號,182980.298,2514429.057
3861,高雄市鳳山區中山西路60號,高雄市鳳山區鎮西里11鄰中山西路60號,183607.079,2503093.009
3862,高雄市鳳山區五甲二路262號,高雄市鳳山區一甲里26鄰五甲二路262號,182063.290,2500215.069
3863,高雄市鳳山區大明路48號,高雄市鳳山區新甲里10鄰大明路48號,182353.179,2500976.319
3864,高雄市鳳山區青年路二段199號,高雄市鳳山區文福里18鄰青年路二段199號,183208.383,2504110.097
3865,高雄市鳳山區南榮路266號,高雄市鳳山區一甲里27鄰南榮路266號,181882.609,2500374.339
3866,高雄市鳳山區自由路108號,高雄市鳳山區忠義里11鄰自由路108號,183406.399,2503009.899
3867,高雄市鳳山區三商街57號,高雄市鳳山區富榮里9鄰三商街57號,181881.000,2499834.069
3868,高雄市鳳山區南華路164號,高雄市鳳山區正義里18鄰南華路164號,181978.170,2500422.319
3869,高雄市鳳山區海洋一路128號,高雄市鳳山區新樂里23鄰海洋一路128號,182671.109,2501233.100
3870,高雄市鳳山區杭州西街125號,高雄市鳳山區誠智里13鄰杭州西街125號,185664.470,2502275.839
3871,高雄市鳳山區五甲一路135號,高雄市鳳山區和興里19鄰五甲一路135號,183825.310,2502322.660
3872,高雄市鳳山區海洋二路118號,高雄市鳳山區老爺里13鄰海洋二路118號,182974.149,2501463.480
3873,高雄市鳳山區海洋一路131號,高雄市鳳山區新泰里5鄰海洋一路131號,182629.730,2501257.540
3874,高雄市鳳山區博愛路37號,高雄市鳳山區瑞竹里10鄰博愛路37號,185659.179,2503058.009
3875,高雄市鳳山區文化西路9號,高雄市鳳山區文福里5鄰文化西路9號,183138.538,2503978.245
3876,高雄市鳳山區青年路一段377號,高雄市鳳山區中和里27鄰青年路一段377號,183088.120,2503172.310
3877,高雄市鳳山區力行路55號,高雄市鳳山區鎮北里9鄰力行路55號,184863.040,2504473.890
3878,高雄市鳳山區五甲三路31號,高雄市鳳山區五福里6鄰五甲三路31號,180863.750,2499320.210
3879,高雄市鳳山區興仁里中山路203號,高雄市鳳山區興仁里10鄰中山路203號,183904.390,2502796.910
3880,高雄市鳳山區中正路146號,高雄市鳳山區光明里6鄰中正路146號,184259.859,2503209.790
3881,高雄市鳳山區南光街178號,高雄市鳳山區南和里13鄰南光街178號,181448.570,2499583.240
3882,高雄市鳳山區鳳北路46號1號,高雄市鳳山區鎮北里3鄰鳳北路46號,184955.049,2504607.790
3883,高雄市鳳山區中山路163號,高雄市鳳山區興仁里12鄰中山路163號,183977.230,2502671.779
3884,高雄市鳳山區中山東路211之3號,高雄市鳳山區瑞竹里9鄰中山東路211之3號,185226.549,2502790.689
3885,高雄市鳳山區光復路222號,高雄市鳳山區鎮西里4鄰光復路222號,183695.720,2503364.879
3886,高雄市鳳山區三民路274號,高雄市鳳山區縣口里6鄰三民路274號,184012.579,2502917.480
3887,高雄市鳳山區五甲二路671號,高雄市鳳山區天興里4鄰五甲二路671號,181059.560,2499471.290
3888,高雄市鳳山區大東二路17號,高雄市鳳山區和德里10鄰大東二路17號,184241.859,2502415.399
3889,高雄市鳳山區鳳甲路381號,高雄市鳳山區保安里19鄰鳳甲路381號,182666.230,2499754.740
3890,高雄市鳳山區青年路二段490號,高雄市鳳山區文德里7鄰青年路二段490號,183293.519,2505074.779
3891,高雄市鳳山區光復路116號,高雄市鳳山區曹公里27鄰光復路116號,184098.190,2503362.410
3892,高雄市鳳山區新富路502號,高雄市鳳山區海洋里22鄰新富路502號,182897.660,2501668.649
3893,高雄市鳳山區瑞竹路189號,高雄市鳳山區瑞興里8鄰瑞竹路189號,185149.299,2503213.730
3894,高雄市鳳山區鳳林路101號,高雄市鳳山區東門里23鄰鳳林路101號,185829.269,2502615.220
3895,高雄市鳳山區鳳松路1之5號,高雄市鳳山區文華里38鄰鳳松路1之5號,184272.810,2503607.560
3896,高雄市鳳山區瑞興路424號,高雄市鳳山區中正里6鄰瑞興路424號,185243.429,2503560.830
3897,高雄市鳳山區經武路271號,高雄市鳳山區武松里14鄰經武路271號,184646.510,2504304.350
3898,高雄市鳳山區中崙四路2號,高雄市鳳山區中民里22鄰中崙四路2號,183445.717,2500100.259
3899,高雄市鳳山區南榮路23號,高雄市鳳山區善美里2鄰南榮路23號,181394.399,2500060.759
3900,高雄市鳳山區南華路89號,高雄市鳳山區一甲里14鄰南華路89號,182031.890,2500301.680
3901,高雄市鳳山區自強二路248號,高雄市鳳山區龍成里12鄰自強二路248號,180781.019,2499985.180
3902,高雄市鳳山區五福一路29號,高雄市鳳山區五福里23鄰五福一路29號,180900.899,2499125.520
3903,高雄市鳳山區五甲二路527號,高雄市鳳山區南和里7鄰五甲二路527號,181374.100,2499697.169
3904,高雄市鳳山區瑞興路253號,高雄市鳳山區瑞興里20鄰瑞興路253號,184895.902,2503271.703
3905,高雄市鳳山區中山路137號,高雄市鳳山區興仁里17鄰中山路137號,184055.530,2502601.129
3906,高雄市鳳山區文衡路377號,高雄市鳳山區文衡里15鄰文衡路377號,183335.730,2504624.689
3907,高雄市鳳山區建國路三段207號,高雄市鳳山區文華里34鄰建國路三段207號,183465.660,2504220.620
3908,高雄市鳳山區中正路109號,高雄市鳳山區縣衙里1鄰中正路109號,184204.649,2503106.250
3909,高雄市鳳山區光復路一段69號,高雄市鳳山區鎮西里33鄰光復路一段69號,183439.380,2503352.919
3910,高雄市鳳山區八德路267之1號,高雄市鳳山區文衡里10鄰八德路267之1號,183803.700,2504384.919
3911,高雄市鳳山區五福一路30之6號,高雄市鳳山區五福里12鄰五福一路30之6號,180821.329,2499182.680
3912,高雄市鳳山區南榮路89號,高雄市鳳山區善美里15鄰南榮路89號,181573.570,2500193.480
3913,高雄市鳳山區武營路192號,高雄市鳳山區新武里10鄰武營路192號,181905.280,2501276.080
3914,高雄市鳳山區濱山街10巷7號,高雄市鳳山區文德里35鄰濱山街10巷7號,183355.170,2505154.839
3915,高雄市鳳山區中山西路343號,高雄市鳳山區中和里24鄰中山西路343號,182781.810,2503234.450
3916,高雄市鳳山區八德路132號,高雄市鳳山區文山里26鄰八德路132號,184183.160,2504389.439
3917,高雄市鳳山區大明路62號,高雄市鳳山區新甲里10鄰大明路62號,182350.850,2501007.049
3918,高雄市鳳山區光復路一段72號,高雄市鳳山區忠孝里1鄰光復路一段72號,183405.239,2503376.160
3919,高雄市鳳山區中崙四路10號,高雄市鳳山區中民里22鄰中崙四路10號,183407.617,2500100.895
3920,高雄市鳳山區鳳松路74號,高雄市鳳山區北門里17鄰鳳松路74號,184357.859,2503771.790
3921,高雄市鳳山區自強二路1之1號,高雄市鳳山區福祥里1鄰自強二路1之1號,180909.739,2499430.399
3922,高雄市鳳山區海洋二路155號,高雄市鳳山區海洋里10鄰海洋二路155號,183025.739,2501582.270
3923,高雄市大樹區中興東路75號,高雄市大樹區檨腳里5鄰中興東路75號,191899.230,2510251.460
3924,高雄市大樹區久堂路152號,高雄市大樹區久堂里47鄰久堂路152號,190120.320,2506517.509
3925,高雄市大樹區九曲路119號,高雄市大樹區九曲里17鄰九曲路119號,190478.160,2505444.220
3926,高雄市大樹區中興北路8號,高雄市大樹區檨腳里5鄰中興北路8號,191708.810,2510206.109
3927,高雄市大樹區實踐街60號,高雄市大樹區檨腳里23鄰實踐街60號,191613.820,2510115.919
3928,高雄市大樹區久堂路149號,高雄市大樹區久堂里48鄰久堂路149號,190008.530,2506524.689
3929,高雄市六龜區光復路337號,高雄市六龜區文武里3鄰光復路337號,212725.777,2543351.825
3930,高雄市美濃區美中路30號,高雄市美濃區合和里1鄰美中路30號,203025.478,2533074.242
3931,高雄市美濃區成功路213之13號,高雄市美濃區合和里17鄰成功路213之13號,203708.193,2532509.473
3932,高雄市美濃區中正路一段49號,高雄市美濃區泰安里6鄰中正路一段49號,203009.560,2533317.169
3933,高雄市美濃區中正路一段30號,高雄市美濃區泰安里14鄰中正路一段30號,202941.560,2533413.395
3934,高雄市美濃區中正路一段60號,高雄市美濃區泰安里7鄰中正路一段60號,202981.908,2533294.938
3935,高雄市美濃區中興路一段601號,高雄市美濃區中壇里4鄰中興路一段601號,202188.007,2531716.498
3936,高雄市旗山區延平一路655之2號,高雄市旗山區大德里14鄰延平一路655之2號,196972.602,2531570.805
3937,高雄市旗山區中山路149號,高雄市旗山區湄洲里21鄰中山路149號,196853.288,2532121.339
3938,高雄市旗山區中山路4號,高雄市旗山區大德里11鄰中山路4號,196861.701,2531617.298
3939,高雄市旗山區中山路15號,高雄市旗山區大德里19鄰中山路15號,196846.464,2531683.143
3940,高雄市旗山區中山路60之2號,高雄市旗山區湄洲里7鄰中山路60之2號,196865.522,2531792.401
3941,高雄市旗山區延平一路530號,高雄市旗山區湄洲里6鄰延平一路530號,196968.492,2532078.759
3942,高雄市旗山區延平一路457號,高雄市旗山區湄洲里18鄰延平一路457號,197009.214,2532193.890
3943,高雄市旗山區永福街23巷2之1號,高雄市旗山區湄洲里7鄰永福街23巷2之1號,196893.139,2531858.376
3944,高雄市旗山區仁和街15號,高雄市旗山區湄洲里20鄰仁和街15號,196909.581,2532233.606
3945,高雄市旗山區延平一路682號,高雄市旗山區大德里11鄰延平一路682號,196950.090,2531586.600
3946,高雄市旗山區華中街20號,高雄市旗山區湄洲里5鄰華中街20號,196925.179,2531993.723
3947,高雄市旗山區中山路115號,高雄市旗山區湄洲里15鄰中山路115號,196852.840,2532027.444
3948,高雄市茄萣區仁愛路三段222號,高雄市茄萣區嘉賜里37鄰仁愛路三段222號,166275.276,2533836.941
3949,高雄市茄萣區仁愛路三段226號,高雄市茄萣區嘉賜里37鄰仁愛路三段226號,166274.002,2533842.549
3950,高雄市茄萣區忠孝街142之7號,高雄市茄萣區保定里23鄰忠孝街142之7號,166337.962,2533200.943
3951,高雄市茄萣區茄萣路二段149號,高雄市茄萣區嘉樂里2鄰茄萣路二段149號,166189.959,2533448.939
3952,高雄市茄萣區仁愛路三段122號,高雄市茄萣區嘉賜里23鄰仁愛路三段122號,166297.964,2533630.950
3953,基隆市信義區深溪路110號,基隆市信義區孝忠里10鄰深溪路110號,328913.570,2780812.759
3954,基隆市信義區東明路125號,基隆市信義區禮儀里4鄰東明路125號,326725.909,2780125.390
3955,基隆市信義區東明路169號,基隆市信義區禮儀里17鄰東明路169號,326617.450,2780134.890
3956,基隆市信義區信二路238號,基隆市信義區仁義里8鄰信二路238號,325714.979,2780357.299
3957,基隆市信義區東信路66-1號,基隆市信義區東安里14鄰東信路66之1號,327400.919,2780148.669
3958,基隆市信義區深溪路160號,基隆市信義區孝忠里10鄰深溪路160號,328925.280,2780872.620
3959,基隆市信義區深溪路168號,基隆市信義區孝忠里10鄰深溪路168號,328928.650,2780896.279
3960,基隆市信義區義六路15號,基隆市信義區仁義里9鄰義六路15號,325726.750,2780357.080
3961,基隆市信義區信二路71號,基隆市信義區義幸里17鄰信二路71號,326167.090,2780282.240
3962,基隆市仁愛區孝三路71號,基隆市仁愛區文昌里2鄰孝三路71號,324535.669,2780388.060
3963,基隆市仁愛區南榮路13號,基隆市仁愛區福仁里1鄰南榮路13號,324844.609,2780052.399
3964,基隆市仁愛區孝一路100號,基隆市仁愛區新店里13鄰孝一路100號,324676.500,2780240.100
3965,基隆市仁愛區仁二路28號,基隆市仁愛區水錦里11鄰仁二路28號,325652.640,2780133.879
3966,基隆市仁愛區愛一路67號,基隆市仁愛區新店里13鄰愛一路67號,324732.539,2780304.689
3967,基隆市仁愛區精一路32號,基隆市仁愛區文安里7鄰精一路32號,324729.940,2779965.419
3968,基隆市仁愛區仁四路28號,基隆市仁愛區仁德里9鄰仁四路28號,324830.000,2780148.000
3969,基隆市仁愛區仁三路25號,基隆市仁愛區玉田里11鄰仁三路25號,324953.109,2780182.689
3970,基隆市仁愛區孝三路26號,基隆市仁愛區文昌里14鄰孝三路26號,324525.479,2780336.569
3971,基隆市仁愛區仁三路37號,基隆市仁愛區仁德里4鄰仁三路37號,324909.020,2780209.439
3972,基隆市仁愛區忠二路6號,基隆市仁愛區新店里12鄰忠二路6號,324700.859,2780354.740
3973,基隆市仁愛區愛三路74號,基隆市仁愛區仁德里3鄰愛三路74號,324913.909,2780225.939
3974,基隆市仁愛區愛四路26之1號,基隆市仁愛區玉田里4鄰愛四路26之1號;基隆市仁愛區玉田里4鄰愛四路26號之1,324992.719;324992.719,2780202.049;2780202.049
3975,基隆市仁愛區仁三路54號,基隆市仁愛區仁德里3鄰仁三路54號,324934.739,2780214.310
3976,基隆市仁愛區愛二路12號,基隆市仁愛區博愛里10鄰愛二路12號,324767.469,2780150.350
3977,基隆市仁愛區成功一路123號,基隆市仁愛區光華里24鄰成功一路123號,324276.750,2780117.040
3978,基隆市仁愛區仁四路54之2號,基隆市仁愛區博愛里18鄰仁四路54之2號,324741.010,2780196.710
3979,基隆市仁愛區仁二路179號,基隆市仁愛區忠勇里5鄰仁二路179號,325123.659,2780215.910
3980,基隆市仁愛區忠二路65號,基隆市仁愛區文昌里6鄰忠二路65號,324490.750,2780456.770
3981,基隆市仁愛區忠三路97號,基隆市仁愛區明德里13鄰忠三路97號,324486.289,2780322.970
3982,基隆市仁愛區孝三路82號,基隆市仁愛區新店里1鄰孝三路82號,324603.710,2780465.560
3983,基隆市仁愛區成功一路126號,基隆市仁愛區光華里13鄰成功一路126號,324318.760,2780123.169
3984,基隆市仁愛區仁四路24號,基隆市仁愛區仁德里7鄰仁四路24號,324863.950,2780117.589
