遊戲期數,遊戲主題,屆別,獎金結構項數,售價,最高獎金,發行日,發行日(民國),下市日,下市日(民國),兌獎截止日,兌獎截止日(民國),發行張數,銷售率,頭獎張數,頭獎未兌領張數,scratchId,newsId,圖片網址,獎金結構網址
5160,獎金對決,本屆(2024/1/1起),11,200,2000000,2026-08-04,115/08/04,2027-02-11,116/02/11,2027-05-11,116/05/11,5892100,,5,,ca2e7365336d4fb09357bf15941bb97b,393153600af64e9ca4ef0a167458b78e,https://cdn.taiwanlottery.com.tw/app/Images/Scratch/20260729_140920954_1.jpg,https://www.taiwanlottery.com/news/news/393153600af64e9ca4ef0a167458b78e
5159,大麻將,本屆(2024/1/1起),10,1000,10000000,2026-08-04,115/08/04,2027-02-11,116/02/11,2027-05-11,116/05/11,3500000,,3,,6b54b955ab5e4b8486fc4b5576466f38,393153600af64e9ca4ef0a167458b78e,https://cdn.taiwanlottery.com.tw/app/Images/Scratch/20260729_140647304_1.jpg,https://www.taiwanlottery.com/news/news/393153600af64e9ca4ef0a167458b78e
5158,財富密碼,本屆(2024/1/1起),10,200,2000000,2026-07-16,115/07/16,2027-01-18,116/01/18,2027-04-19,116/04/19,3567300,,3,,8cc5f57a85544d2cbfd4fe53d8a0fa87,92f8b4e6b5f54b9da1a2fa550338326a,https://cdn.taiwanlottery.com.tw/app/Images/Scratch/20260709_110849726_1.jpg,https://www.taiwanlottery.com/news/news/92f8b4e6b5f54b9da1a2fa550338326a
5157,刮刮金樂透,本屆(2024/1/1起),8,200,2000000,2026-07-16,115/07/16,2027-01-18,116/01/18,2027-04-19,116/04/19,7140000,,8,,42ad7c32f9024f31b36512c747b6c13c,92f8b4e6b5f54b9da1a2fa550338326a,https://cdn.taiwanlottery.com.tw/app/Images/Scratch/20260709_105827182_1.jpg,https://www.taiwanlottery.com/news/news/92f8b4e6b5f54b9da1a2fa550338326a
5156,狂刮10萬,本屆(2024/1/1起),6,200,100000,2026-07-02,115/07/02,2027-01-04,116/01/04,2027-04-07,116/04/07,4590000,,800,,f7eafdff45544312b58df5d273e46294,3fc9978dce574a3da1d2806f3d420d76,https://cdn.taiwanlottery.com.tw/app/Images/Scratch/20260626_105630564_1.jpg,https://www.taiwanlottery.com/news/news/3fc9978dce574a3da1d2806f3d420d76
5155,無敵777,本屆(2024/1/1起),12,300,3000000,2026-07-02,115/07/02,2027-01-04,116/01/04,2027-04-07,116/04/07,6616400,,5,,6a26038fbdd3449f93d6cef10f2eb83a,3fc9978dce574a3da1d2806f3d420d76,https://cdn.taiwanlottery.com.tw/app/Images/Scratch/20260626_104859417_1.jpg,https://www.taiwanlottery.com/news/news/3fc9978dce574a3da1d2806f3d420d76
5154,嗨刮123,本屆(2024/1/1起),10,100,300000,2026-06-15,115/06/15,2026-12-15,115/12/15,2027-03-15,116/03/15,4080000,,4,,aefd15760e4f4b67a3446f292b6b21e4,2f3b4baca5844415887cb0264a2ad355,https://cdn.taiwanlottery.com.tw/app/Images/Scratch/20260609_110605548_1.jpg,https://www.taiwanlottery.com/news/news/2f3b4baca5844415887cb0264a2ad355
5153,財運高升,本屆(2024/1/1起),10,200,2000000,2026-06-15,115/06/15,2026-12-15,115/12/15,2027-03-15,116/03/15,6120000,,4,,18c1999a95ec452eb74466610202e5bb,2f3b4baca5844415887cb0264a2ad355,https://cdn.taiwanlottery.com.tw/app/Images/Scratch/20260609_105608478_1.jpg,https://www.taiwanlottery.com/news/news/2f3b4baca5844415887cb0264a2ad355
5152,好運發發,本屆(2024/1/1起),10,200,88000,2026-06-02,115/06/02,2026-12-02,115/12/02,2027-03-02,116/03/02,4080000,,88,,dd7e1309f5434275a6ed9e0f6c4a3792,4ce357e53d394a63bb3b6302ac6a03c1,https://cdn.taiwanlottery.com.tw/app/Images/Scratch/20260527_161218989_1.jpg,https://www.taiwanlottery.com/news/news/4ce357e53d394a63bb3b6302ac6a03c1
5151,"樂刮$5,000",本屆(2024/1/1起),6,500,3000000,2026-06-02,115/06/02,2026-12-02,115/12/02,2027-03-02,116/03/02,4000000,,2,,a491e2d76a5c479ab2b0aa6661cb6b8c,4ce357e53d394a63bb3b6302ac6a03c1,https://cdn.taiwanlottery.com.tw/app/Images/Scratch/20260527_160952539_1.jpg,https://www.taiwanlottery.com/news/news/4ce357e53d394a63bb3b6302ac6a03c1
