●                留著夾紙                ●,,,,,,,,,
5129,,金馬報喜,,,,售價,,$200元/張,
065536,,,,,,中獎率,,50.35%,
01,200,21,300,41,0,61,300,81,0
02,0,22,300,42,0,62,0,82,0
03,0,23,0,43,200,63,0,83,200
04,0,24,200,44,200,64,0,84,200
05,200,25,200,45,200,65,300,85,0
06,200,26,200,46,200,66,500,86,200
07,200,27,200,47,0,67,200,87,0
08,0,28,0,48,200,68,0,88,200
09,0,29,300,49,200,69,0,89,200
10,0,30,0,50,0,70,0,90,200
11,0,31,200,51,200,71,300,91,0
12,0,32,200,52,0,72,200,92,200
13,300,33,0,53,200,73,0,93,0
14,200,34,0,54,300,74,0,94,0
15,0,35,300,55,0,75,300,95,0
16,0,36,200,56,300,76,0,96,0
17,0,37,200,57,200,77,0,97,0
18,200,38,200,58,0,78,0,98,500
19,200,39,0,59,200,79,200,99,0
20,0,40,300,60,0,80,0,100,200
