,樣本1,樣本2,樣本3,樣本4,樣本5,樣本6,樣本7,樣本8,樣本9,樣本10,樣本11,樣本12,樣本13,樣本14,樣本15,樣本16,樣本17,樣本18,樣本19,樣本20,樣本21,樣本22,樣本23,樣本24,樣本25,樣本26,樣本27,樣本28,樣本29,,,0,5000,
1,1000,1000,2000,0,5000,2000,1000,1000,1000,2000,5000,0,0,1000,0,1000,"1,000","2,000","1,000","2,000","2,000",0,"1,000","1,000","1,000",0,"1,000",0,"1,000","25,000",1,7,2,1
2,1000,0,1000,0,0,1000,2000,1000,1000,0,2000,0,2000,5000,1000,0,"2,000","1,000","2,000","2,000","2,000","2,000","2,000",0,"1,000",0,"1,000","1,000","2,000","32,000",2,8,1,2
3,1000,1000,1000,0,1000,2000,0,5000,2000,0,0,1000,5000,1000,1000,0,"1,000","1,000","1,000","2,000","1,000",0,"1,000",0,0,"1,000","1,000","2,000",0,"26,000",3,9,2,3
4,0,2000,1000,0,0,0,1000,2000,1000,5000,2000,2000,0,0,2000,1000,"1,000","1,000","5,000","1,000",0,"1,000",0,"5,000",0,0,0,0,"1,000","31,000",4,12,3,4
5,1000,1000,1000,1000,0,0,0,1000,1000,2000,1000,1000,1000,1000,1000,2000,0,0,"2,000","1,000","2,000",0,0,"1,000","1,000",0,"1,000","1,000",0,"20,000",5,9,0,5
6,2000,2000,0,1000,2000,1000,2000,0,0,1000,0,0,1000,2000,0,1000,0,0,"1,000","2,000","1,000","2,000","1,000","1,000","1,000",0,0,0,0,"16,000",6,12,0,6
7,0,1000,0,0,0,0,1000,2000,5000,0,0,1000,2000,0,0,5000,"2,000",0,"5,000",0,"5,000",0,0,"1,000","2,000","1,000","2,000","1,000","5,000","40,000",7,13,5,7
8,0,0,0,5000,1000,1000,1000,0,1000,1000,1000,2000,1000,1000,1000,2000,0,"1,000",0,0,0,"1,000",0,"1,000","1,000",0,0,"1,000","1,000","17,000",8,11,1,8
9,5000,1000,5000,2000,2000,1000,2000,0,0,1000,2000,5000,1000,1000,1000,0,"5,000","2,000",0,"1,000","1,000","1,000","2,000",0,"5,000","1,000","5,000","1,000","1,000","38,000",9,5,5,9
10,0,2000,0,1000,2000,5000,0,1000,1000,0,2000,0,2000,0,1000,5000,"2,000","2,000",0,0,"1,000","1,000","2,000",0,"2,000","5,000","1,000",0,0,"28,000",10,11,3,10
11,1000,0,1000,0,0,0,5000,5000,1000,0,1000,0,1000,0,0,0,"1,000","5,000","1,000",0,"2,000",0,"1,000","1,000","1,000","1,000","5,000","2,000","1,000","34,000",11,11,4,11
12,0,0,2000,0,5000,0,1000,0,0,1000,2000,5000,0,1000,1000,1000,"1,000","2,000","1,000","1,000","1,000","5,000",0,"1,000","1,000",0,"2,000","5,000","2,000","34,000",12,9,4,12
13,0,1000,0,5000,1000,0,2000,1000,2000,0,0,0,1000,2000,0,0,"1,000","1,000","2,000","1,000",0,"1,000","2,000","5,000","2,000","5,000",0,"2,000","2,000","32,000",13,10,3,13
14,5000,1000,0,1000,1000,2000,1000,0,2000,0,1000,0,2000,1000,5000,1000,"1,000","5,000",0,"1,000","5,000",0,"5,000",0,"2,000","5,000",0,"1,000",0,"38,000",14,9,5,14
15,1000,1000,5000,0,1000,5000,1000,2000,5000,2000,1000,1000,2000,0,2000,0,"2,000",0,"1,000","1,000","1,000",0,"1,000","2,000",0,"1,000","2,000","1,000","5,000","33,000",15,6,4,15
16,2000,2000,1000,2000,1000,1000,1000,1000,0,1000,0,1000,0,2000,0,2000,"1,000",0,0,"1,000",0,"1,000",0,"2,000","1,000",0,"1,000",0,"1,000","16,000",16,10,0,16
17,0,1000,1000,0,1000,2000,1000,0,1000,1000,1000,1000,0,0,5000,1000,"1,000","1,000","2,000","5,000","1,000","1,000","1,000","2,000","1,000","2,000",0,"1,000",0,"29,000",17,7,2,17
18,2000,2000,2000,1000,0,1000,1000,10000,0,2000,2000,5000,2000,5000,1000,2000,"1,000",0,"1,000","1,000","1,000","2,000","2,000",0,"2,000","2,000",0,"1,000","1,000","44,000",18,5,2,18
19,2000,5000,2000,5000,1000,1000,0,1000,0,5000,1000,0,1000,0,2000,1000,0,0,0,"1,000",0,"5,000","2,000","1,000",0,0,"1,000","5,000",0,"26,000",19,11,4,19
,24000,24000,25000,24000,24000,25000,23000,33000,24000,24000,24000,25000,24000,23000,24000,25000,"23,000","24,000","25,000","23,000","26,000","23,000","23,000","24,000","24,000","24,000","23,000","25,000","23,000",,,,,
0,7,4,6,9,6,6,4,6,6,7,5,8,5,7,6,6,4,7,6,4,5,7,6,6,4,9,7,5,7,,,,,
