,●                留著夾紙                ●,,,,,,,,,
,5137,,"樂刮$2,000",,,,售價,,$200元/張,
,41562,,,,,,中獎率,,25.10%,
,01,200,21,0,41,0,61,0,81,2000
,02,0,22,0,42,0,62,0,82,0
,03,0,23,0,43,0,63,0,83,0
,04,0,24,0,44,0,64,0,84,0
,05,0,25,0,45,0,65,0,85,0
,06,0,26,0,46,0,66,0,86,2000
,07,0,27,300,47,200,67,200,87,0
,08,0,28,0,48,0,68,0,88,200
,09,200,29,0,49,0,69,0,89,0
,10,200,30,0,50,0,70,0,90,0
,11,0,31,0,51,0,71,200,91,500
,12,0,32,0,52,0,72,0,92,0
,13,200,33,0,53,0,73,0,93,0
,14,0,34,0,54,0,74,200,94,0
,15,0,35,300,55,0,75,200,95,0
,16,0,36,0,56,300,76,200,96,0
,17,0,37,200,57,0,77,2000,97,200
,18,0,38,0,58,200,78,0,98,500
,19,2000,39,0,59,200,79,0,99,0
,20,200,40,0,60,0,80,0,100,0
