,●                留著夾紙                ●,,,,,,,,●                留著夾紙                ●,,,,,,,,●                留著夾紙                ●,,,,,,,,●                留著夾紙                ●,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5138,,無敵30倍,,售價,,300元/張,,5138,,無敵30倍,,售價,,300元/張,,5138,,無敵30倍,,售價,,300元/張,,5138,,無敵30倍,,售價,,300元/張,,5138,,無敵30倍,,售價,,300元/張,,5138,,無敵30倍,,售價,,300元/張,,5138,,無敵30倍,,售價,,300元/張,,5138,,無敵30倍,,售價,,300元/張,,5138,,無敵30倍,,售價,,300元/張,
,50993,,,,中獎率,,31.00%,,51403,,,,中獎率,,31.00%,,51404,,,,中獎率,,31.00%,,52243,,,,中獎率,,31.00%,,66770,,,,中獎率,,31.00%,,65529,,,,中獎率,,31.00%,,65530,,,,中獎率,,31.00%,,65533,,,,中獎率,,31.00%,,66767,,,,中獎率,,31.00%,
,01,0,26,0,51,0,76,0,01,0,26,0,51,"1,500",76,0,01,0,26,0,51,0,76,0,01,0,26,300,51,300,76,0,01,300,26,300,51,0,76,0,01,0,26,0,51,0,76,0,01,300,26,0,51,"1,500",76,300,01,0,26,500,51,0,76,0,01,300,26,0,51,600,76,0
,02,0,27,0,52,0,77,0,02,0,27,0,52,0,77,"1,500",02,0,27,0,52,300,77,0,02,0,27,0,52,"1,500",77,0,02,0,27,0,52,0,77,0,02,500,27,500,52,0,77,0,02,0,27,300,52,0,77,300,02,0,27,0,52,0,77,"1,500",02,0,27,0,52,0,77,0
,03,0,28,0,53,0,78,0,03,0,28,500,53,0,78,0,03,0,28,300,53,0,78,0,03,0,28,0,53,0,78,"1,500",03,300,28,0,53,0,78,500,03,0,28,0,53,300,78,0,03,0,28,0,53,300,78,0,03,300,28,0,53,300,78,0,03,0,28,0,53,0,78,0
,04,0,29,0,54,0,79,0,04,300,29,0,54,300,79,300,04,500,29,0,54,0,79,300,04,0,29,0,54,0,79,0,04,"1,500",29,0,54,300,79,0,04,0,29,300,54,500,79,0,04,0,29,0,54,0,79,0,04,0,29,0,54,500,79,0,04,0,29,300,54,0,79,0
,05,0,30,0,55,0,80,0,05,0,30,0,55,300,80,0,05,0,30,300,55,0,80,0,05,0,30,500,55,0,80,0,05,0,30,"1,500",55,0,80,0,05,"1,500",30,500,55,0,80,300,05,300,30,"1,500",55,0,80,0,05,0,30,300,55,"1,500",80,0,05,300,30,0,55,"1,500",80,600
,06,0,31,0,56,300,81,300,06,300,31,300,56,0,81,500,06,0,31,0,56,0,81,0,06,0,31,0,56,0,81,0,06,0,31,0,56,0,81,300,06,0,31,300,56,0,81,300,06,0,31,0,56,0,81,0,06,0,31,0,56,0,81,0,06,500,31,300,56,300,81,0
,07,300,32,0,57,300,82,500,07,0,32,0,57,0,82,300,07,0,32,0,57,0,82,0,07,0,32,300,57,0,82,0,07,0,32,0,57,0,82,0,07,0,32,0,57,0,82,0,07,0,32,0,57,0,82,0,07,500,32,0,57,0,82,0,07,0,32,0,57,0,82,300
,08,0,33,300,58,0,83,0,08,0,33,0,58,500,83,300,08,0,33,"1,500",58,0,83,0,08,0,33,"1,500",58,300,83,"1,500",08,0,33,300,58,0,83,300,08,0,33,0,58,0,83,300,08,0,33,600,58,500,83,300,08,300,33,0,58,0,83,0,08,0,33,0,58,300,83,0
