,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,遊戲主題,,,,,,"樂刮$5,000",,,,,,售價,,,,,,500元/張,,,,,,中獎率,,,,,,34.73%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15089,,35340,,35622,,35623,,35627,,35628,,35629,,35630,,35857,,35858,,36070,,36077,,36082,,36649,,36654,,36655,,36664,,70833,,70834,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01,0,01,0,01,0,01,0,01,500,01,0,01,0,01,0,01,"5,000",01,500,01,0,01,0,01,0,01,0,01,0,01,0,01,0,01,0,01,500,01,0,,,,,,,,,,,,,,,,,,,,,,,,
,02,0,02,500,02,0,02,500,02,0,02,0,02,500,02,0,02,0,02,0,02,0,02,0,02,0,02,0,02,0,02,"1,000",02,0,02,500,02,500,02,0,,,,,,,,,,,,,,,,,,,,,,,,
,03,0,03,0,03,0,03,0,03,0,03,500,03,0,03,0,03,0,03,500,03,"5,000",03,0,03,0,03,0,03,500,03,500,03,0,03,0,03,500,03,0,,,,,,,,,,,,,,,,,,,,,,,,
,04,0,04,0,04,500,04,0,04,0,04,0,04,0,04,0,04,500,04,0,04,0,04,0,04,0,04,500,04,0,04,0,04,0,04,0,04,500,04,0,,,,,,,,,,,,,,,,,,,,,,,,
,05,500,05,"5,000",05,0,05,0,05,0,05,0,05,0,05,500,05,0,05,0,05,0,05,0,05,500,05,500,05,"5,000",05,0,05,500,05,0,05,0,05,0,,,,,,,,,,,,,,,,,,,,,,,,
,06,0,06,500,06,500,06,0,06,0,06,0,06,0,06,0,06,0,06,0,06,0,06,0,06,0,06,500,06,500,06,500,06,0,06,500,06,0,06,0,,,,,,,,,,,,,,,,,,,,,,,,
,07,0,07,0,07,0,07,500,07,500,07,500,07,"2,000",07,0,07,0,07,0,07,"5,000",07,500,07,500,07,0,07,0,07,500,07,0,07,0,07,0,07,0,,,,,,,,,,,,,,,,,,,,,,,,
,08,0,08,0,08,0,08,0,08,0,08,0,08,0,08,"1,000",08,0,08,500,08,500,08,0,08,0,08,0,08,0,08,500,08,0,08,0,08,0,08,0,,,,,,,,,,,,,,,,,,,,,,,,
,09,0,09,0,09,0,09,0,09,0,09,0,09,0,09,500,09,0,09,0,09,0,09,0,09,0,09,0,09,0,09,0,09,0,09,0,09,0,09,0,,,,,,,,,,,,,,,,,,,,,,,,
,10,0,10,0,10,"1,000",10,500,10,500,10,0,10,500,10,500,10,500,10,500,10,0,10,500,10,0,10,500,10,500,10,0,10,500,10,500,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,
,11,0,11,0,11,0,11,500,11,0,11,0,11,0,11,0,11,0,11,500,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,"5,000",11,0,,,,,,,,,,,,,,,,,,,,,,,,
,12,"2,000",12,500,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,500,12,0,12,0,12,500,12,500,12,500,12,0,12,"5,000",12,0,12,500,12,0,,,,,,,,,,,,,,,,,,,,,,,,
,13,0,13,0,13,0,13,500,13,500,13,0,13,0,13,0,13,500,13,500,13,0,13,0,13,0,13,0,13,500,13,0,13,0,13,0,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,
,14,0,14,500,14,0,14,0,14,500,14,"5,000",14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,"1,000",14,500,14,500,14,0,14,500,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,
,15,500,15,0,15,0,15,0,15,500,15,500,15,0,15,0,15,0,15,0,15,0,15,500,15,0,15,500,15,0,15,0,15,500,15,0,15,"2,000",15,0,,,,,,,,,,,,,,,,,,,,,,,,
,16,"5,000",16,0,16,500,16,"2,000",16,500,16,500,16,"5,000",16,0,16,0,16,0,16,"1,000",16,0,16,500,16,0,16,500,16,0,16,0,16,500,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,
,17,0,17,0,17,0,17,0,17,0,17,0,17,500,17,0,17,0,17,"5,000",17,500,17,0,17,0,17,0,17,0,17,0,17,500,17,500,17,500,17,0,,,,,,,,,,,,,,,,,,,,,,,,
,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,500,18,500,18,500,18,500,18,500,18,0,18,500,18,0,18,0,18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,
,19,0,19,0,19,0,19,0,19,500,19,0,19,0,19,"5,000",19,0,19,0,19,0,19,500,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,
,20,0,20,500,20,500,20,500,20,0,20,0,20,500,20,500,20,0,20,0,20,500,20,500,20,"5,000",20,0,20,500,20,0,20,0,20,0,20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,
,21,0,21,500,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,500,21,500,21,500,21,500,21,"1,000",21,0,21,0,21,0,21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,
,22,500,22,0,22,500,22,0,22,0,22,0,22,0,22,500,22,"1,000",22,500,22,500,22,500,22,500,22,0,22,0,22,500,22,0,22,500,22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,
