2026-03-04 13:38:38,750 [INFO] 開始改良版 Geocoding：10 / 8083 筆待處理
2026-03-04 13:39:10,637 [INFO] 
🎉 完成！總計 10 筆
  ✅ Nominatim 精確: 10
  📍 路名級別: 0
  📌 區域 Fallback: 0
  ❌ 失敗: 0
  🎯 精確命中率: 100.0%
2026-03-04 13:39:28,883 [INFO] 開始改良版 Geocoding：8073 / 8073 筆待處理
2026-03-04 13:45:33,466 [INFO]   進度 100/8073 (1%) | Nominatim 100 | 路名 0 | Fallback 0 | 失敗 0
2026-03-04 13:51:15,078 [INFO]   進度 200/8073 (2%) | Nominatim 200 | 路名 0 | Fallback 0 | 失敗 0
2026-03-04 13:56:49,979 [INFO]   進度 300/8073 (4%) | Nominatim 300 | 路名 0 | Fallback 0 | 失敗 0
2026-03-04 14:02:20,485 [INFO]   進度 400/8073 (5%) | Nominatim 400 | 路名 0 | Fallback 0 | 失敗 0
2026-03-04 14:08:00,251 [INFO]   進度 500/8073 (6%) | Nominatim 500 | 路名 0 | Fallback 0 | 失敗 0
2026-03-04 14:13:23,614 [INFO]   進度 600/8073 (7%) | Nominatim 600 | 路名 0 | Fallback 0 | 失敗 0
2026-03-04 14:18:49,891 [INFO]   進度 700/8073 (9%) | Nominatim 700 | 路名 0 | Fallback 0 | 失敗 0
2026-03-04 14:24:07,330 [INFO]   進度 800/8073 (10%) | Nominatim 800 | 路名 0 | Fallback 0 | 失敗 0
2026-03-04 14:29:36,941 [INFO]   進度 900/8073 (11%) | Nominatim 900 | 路名 0 | Fallback 0 | 失敗 0
2026-03-04 14:38:37,185 [INFO]   進度 1000/8073 (12%) | Nominatim 996 | 路名 0 | Fallback 4 | 失敗 0
2026-03-04 14:44:20,824 [INFO]   進度 1100/8073 (14%) | Nominatim 1096 | 路名 0 | Fallback 4 | 失敗 0
2026-03-04 14:49:56,900 [INFO]   進度 1200/8073 (15%) | Nominatim 1196 | 路名 0 | Fallback 4 | 失敗 0
2026-03-04 14:55:22,860 [INFO]   進度 1300/8073 (16%) | Nominatim 1296 | 路名 0 | Fallback 4 | 失敗 0
2026-03-04 15:01:02,053 [INFO]   進度 1400/8073 (17%) | Nominatim 1396 | 路名 0 | Fallback 4 | 失敗 0
2026-03-04 15:06:30,485 [INFO]   進度 1500/8073 (19%) | Nominatim 1496 | 路名 0 | Fallback 4 | 失敗 0
2026-03-04 15:12:04,225 [INFO]   進度 1600/8073 (20%) | Nominatim 1596 | 路名 0 | Fallback 4 | 失敗 0
2026-03-04 15:17:50,897 [INFO]   進度 1700/8073 (21%) | Nominatim 1696 | 路名 0 | Fallback 4 | 失敗 0
2026-03-04 15:23:19,044 [INFO]   進度 1800/8073 (22%) | Nominatim 1796 | 路名 0 | Fallback 4 | 失敗 0
2026-03-04 15:28:55,201 [INFO]   進度 1900/8073 (24%) | Nominatim 1896 | 路名 0 | Fallback 4 | 失敗 0
2026-03-04 15:34:30,833 [INFO]   進度 2000/8073 (25%) | Nominatim 1996 | 路名 0 | Fallback 4 | 失敗 0
2026-03-04 15:40:01,231 [INFO]   進度 2100/8073 (26%) | Nominatim 2096 | 路名 0 | Fallback 4 | 失敗 0
2026-03-04 15:45:30,130 [INFO]   進度 2200/8073 (27%) | Nominatim 2196 | 路名 0 | Fallback 4 | 失敗 0
2026-03-04 15:51:11,258 [INFO]   進度 2300/8073 (28%) | Nominatim 2296 | 路名 0 | Fallback 4 | 失敗 0
2026-03-04 15:56:39,421 [INFO]   進度 2400/8073 (30%) | Nominatim 2396 | 路名 0 | Fallback 4 | 失敗 0
2026-03-04 16:02:05,110 [INFO]   進度 2500/8073 (31%) | Nominatim 2496 | 路名 0 | Fallback 4 | 失敗 0
2026-03-04 16:07:36,883 [INFO]   進度 2600/8073 (32%) | Nominatim 2596 | 路名 0 | Fallback 4 | 失敗 0
2026-03-04 16:13:24,208 [INFO]   進度 2700/8073 (33%) | Nominatim 2696 | 路名 0 | Fallback 4 | 失敗 0
2026-03-04 16:19:05,780 [INFO]   進度 2800/8073 (35%) | Nominatim 2796 | 路名 0 | Fallback 4 | 失敗 0
2026-03-04 16:25:09,941 [INFO]   進度 2900/8073 (36%) | Nominatim 2873 | 路名 23 | Fallback 4 | 失敗 0
2026-03-04 16:30:44,636 [INFO]   進度 3000/8073 (37%) | Nominatim 2953 | 路名 43 | Fallback 4 | 失敗 0
2026-03-04 16:36:09,285 [INFO]   進度 3100/8073 (38%) | Nominatim 3028 | 路名 68 | Fallback 4 | 失敗 0
2026-03-04 16:41:23,566 [INFO]   進度 3200/8073 (40%) | Nominatim 3112 | 路名 84 | Fallback 4 | 失敗 0
2026-03-04 16:47:02,182 [INFO]   進度 3300/8073 (41%) | Nominatim 3114 | 路名 182 | Fallback 4 | 失敗 0
2026-03-04 16:52:41,199 [INFO]   進度 3400/8073 (42%) | Nominatim 3114 | 路名 282 | Fallback 4 | 失敗 0
2026-03-04 16:58:22,485 [INFO]   進度 3500/8073 (43%) | Nominatim 3114 | 路名 382 | Fallback 4 | 失敗 0
2026-03-04 17:03:58,509 [INFO]   進度 3600/8073 (45%) | Nominatim 3114 | 路名 482 | Fallback 4 | 失敗 0
2026-03-04 17:09:46,306 [INFO]   進度 3700/8073 (46%) | Nominatim 3114 | 路名 581 | Fallback 4 | 失敗 1
2026-03-04 17:15:25,686 [INFO]   進度 3800/8073 (47%) | Nominatim 3114 | 路名 681 | Fallback 4 | 失敗 1
